object_id,category,mesh_obj,point_cloud,input_image
airplane_001,airplane,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/airplane/airplane_001/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/airplane/airplane_001/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/airplane/airplane_001/image.png
airplane_014,airplane,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/airplane/airplane_014/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/airplane/airplane_014/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/airplane/airplane_014/image.png
airplane_015,airplane,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/airplane/airplane_015/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/airplane/airplane_015/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/airplane/airplane_015/image.png
airplane_017,airplane,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/airplane/airplane_017/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/airplane/airplane_017/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/airplane/airplane_017/image.png
apple_006,apple,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/apple/apple_006/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/apple/apple_006/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/apple/apple_006/image.png
apple_011,apple,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/apple/apple_011/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/apple/apple_011/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/apple/apple_011/image.png
apple_042,apple,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/apple/apple_042/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/apple/apple_042/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/apple/apple_042/image.png
apple_051,apple,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/apple/apple_051/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/apple/apple_051/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/apple/apple_051/image.png
ball_001,ball,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/ball/ball_001/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/ball/ball_001/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/ball/ball_001/image.png
ball_005,ball,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_obj_files/ball/ball_005/mesh.obj,/gs/fs/tga-koike-shanda2/sk/data/toys4k/official/toys4k_point_clouds/ball/ball_005/pc10K.npz,/gs/fs/tga-koike-shanda2/sk/data/toys4k/renders/512/ball/ball_005/image.png
