object_id,category,mesh_obj,point_cloud,input_image
banana_028,banana,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/banana/banana_028/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/banana/banana_028/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/banana/banana_028/image.png
candy_034,candy,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/candy/candy_034/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/candy/candy_034/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/candy/candy_034/image.png
car_002,car,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/car/car_002/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/car/car_002/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/car/car_002/image.png
chair_156,chair,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/chair/chair_156/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/chair/chair_156/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/chair/chair_156/image.png
dinosaur_056,dinosaur,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/dinosaur/dinosaur_056/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/dinosaur/dinosaur_056/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/dinosaur/dinosaur_056/image.png
donut_003,donut,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/donut/donut_003/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/donut/donut_003/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/donut/donut_003/image.png
fan_000,fan,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/fan/fan_000/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/fan/fan_000/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/fan/fan_000/image.png
plate_005,plate,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/plate/plate_005/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/plate/plate_005/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/plate/plate_005/image.png
screwdriver_016,screwdriver,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/screwdriver/screwdriver_016/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/screwdriver/screwdriver_016/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/screwdriver/screwdriver_016/image.png
stove_007,stove,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/stove/stove_007/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/stove/stove_007/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/stove/stove_007/image.png
