object_id,category,mesh_obj,point_cloud,input_image
airplane_009,airplane,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/airplane/airplane_009/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/airplane/airplane_009/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/airplane/airplane_009/image.png
airplane_012,airplane,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/airplane/airplane_012/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/airplane/airplane_012/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/airplane/airplane_012/image.png
apple_003,apple,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/apple/apple_003/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/apple/apple_003/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/apple/apple_003/image.png
apple_013,apple,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/apple/apple_013/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/apple/apple_013/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/apple/apple_013/image.png
ball_007,ball,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/ball/ball_007/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/ball/ball_007/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/ball/ball_007/image.png
ball_009,ball,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/ball/ball_009/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/ball/ball_009/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/ball/ball_009/image.png
banana_008,banana,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/banana/banana_008/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/banana/banana_008/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/banana/banana_008/image.png
banana_009,banana,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/banana/banana_009/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/banana/banana_009/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/banana/banana_009/image.png
bicycle_008,bicycle,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/bicycle/bicycle_008/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/bicycle/bicycle_008/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/bicycle/bicycle_008/image.png
boat_000,boat,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/boat/boat_000/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/boat/boat_000/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/boat/boat_000/image.png
