object_id,category,mesh_obj,point_cloud,input_image
apple_048,apple,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/apple/apple_048/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/apple/apple_048/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/apple/apple_048/image.png
apple_008,apple,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/apple/apple_008/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/apple/apple_008/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/apple/apple_008/image.png
ball_001,ball,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/ball/ball_001/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/ball/ball_001/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/ball/ball_001/image.png
ball_017,ball,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/ball/ball_017/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/ball/ball_017/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/ball/ball_017/image.png
mushroom_008,mushroom,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/mushroom/mushroom_008/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/mushroom/mushroom_008/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/mushroom/mushroom_008/image.png
mushroom_005,mushroom,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/mushroom/mushroom_005/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/mushroom/mushroom_005/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/mushroom/mushroom_005/image.png
fridge_023,fridge,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/fridge/fridge_023/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/fridge/fridge_023/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/fridge/fridge_023/image.png
fridge_003,fridge,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/fridge/fridge_003/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/fridge/fridge_003/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/fridge/fridge_003/image.png
tv_017,tv,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/tv/tv_017/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/tv/tv_017/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/tv/tv_017/image.png
tv_002,tv,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/tv/tv_002/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/tv/tv_002/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/tv/tv_002/image.png
toaster_013,toaster,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_obj_files/toaster/toaster_013/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/official/toys4k_point_clouds/toaster/toaster_013/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/renders/512/toaster/toaster_013/image.png
