object_id,category,mesh_obj,point_cloud,input_image
banana_028,banana,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/banana/banana_028/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/banana/banana_028/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/banana_028_img.png
candy_034,candy,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/candy/candy_034/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/candy/candy_034/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/candy_034_img.png
car_002,car,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/car/car_002/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/car/car_002/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/car_002_img.png
chair_156,chair,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/chair/chair_156/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/chair/chair_156/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/chair_156_img.png
dinosaur_056,dinosaur,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/dinosaur/dinosaur_056/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/dinosaur/dinosaur_056/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/dinosaur_056_img.png
donut_003,donut,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/donut/donut_003/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/donut/donut_003/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/donut_003_img.png
fan_000,fan,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/fan/fan_000/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/fan/fan_000/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/fan_000_img.png
plate_005,plate,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/plate/plate_005/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/plate/plate_005/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/plate_005_img.png
screwdriver_016,screwdriver,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/screwdriver/screwdriver_016/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/screwdriver/screwdriver_016/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/screwdriver_016_img.png
stove_007,stove,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_obj_files/stove/stove_007/mesh.obj,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys4k_point_clouds/stove/stove_007/pc10K.npz,/mnt/workspace/kuno/distillation/datasets/Toys4k/compat/toys_blend_renders_512/stove_007_img.png
